S/N,HCP CODE,NAME,ADDRESS,TYPE OF SERVICE,LGA,STATE,
2947,KT/0029,General Hospital,Kankiya,"Pharmacy, Laboratory, Radiology, Dental",Kankia,Katsina,
2948,KT/0030,Rahusa Pharmacy & Stores,Behind General Hospital,Pharmacy,Kankia,Katsina,
2949,KT/0031,Sulhu Pharmaceutical Chemist,"No.4 Kaduna Street, Kofar Keke",Pharmacy,Katsina,Katsina,
2950,KT/0032,Mshad Group Medical Consultants,"Katsina Nursing Home, 45 Hassan Usman Road G.R.A, Katsina",Opthalmology,Katsina,Katsina,
2951,KT/0033,General Hospital Kurfi,Health Service Mgt. Board,,Kurfi,Katsina,
2952,KT/0034,General Hospital,Malumfashi,"Pharmacy, Laboratory, Radiology, Dental",Malufashi,Katsina,
2953,KT/0035,Malumfashi Clinic & Maternity,Malumfashi,,Malufashi,Katsina,
2954,KT/0036,General Hospital Mani,Mani-Mashi Road Katsina,,Mani,Katsina,
2955,KT/0037,General Hospital,"Mani-Mashi Road, Mani","Pharmacy, Laboratory, Ophthalmology, Dental",Mani,Katsina,
2956,KT/0038,Primary Health Care Center Mashi,Mashi,,Mashi,Katsina,
2957,KT/0039,Katsina General Hospital,"Katsina, Katsina State",,Katsina,Katsina,
2958,KT/0040,Muslim Community Laboratory,"School of Health Technology, Katsina",Laboratory,Katsina,Katsina,
2959,KT/0041,DSS Clinic,"Katsina, Katsina State",,Katsina,Katsina,
2960,KT/0042,"General Hospital, Malufashi","Malufashi, Katsina State",,Malufashi,Katsina,
2961,KT/0044,"35 Bn MRS, Katsina","Katsina, Katsina State",,Malufashi,Katsina,
2962,KT/0046,Ibrahim Coomassie Modern Police Hospital,"Katsina State Police Command, Katsina",,Katsina,Katsina,
2963,KT/0047,New Millenium Hospital,"110, Ahmadu Bello Way, Katsina",,Katsina,Katsina,
2964,KT/0048,Nakowa Hospital,"Anguwal Makera, Sokoto Road, Funtua, Katsina State",Laboratory,Funtua,Katsina,
2965,KT/0049,Bistit Hospital,"36, Katsina Road, Funtua, Katsina State",Laboratory,Funtua,Katsina,
2966,KT/0050,"GENERAL HOSPITAL , KATSINA",KATSINA,"O&G, Gen. Surgery,Peaditrics, Int. Medicine",Katsina,Katsina,
2967,KT/0051,FEDERAL COLLEGE OF EDUCATION CLINIC,KATSINA,PHARMACY,Batagarawa,Katsina,
2968,KT/0052,MISHAD GROUP MEDICAL CONSULT,"25, HASSAN USMAN RD.",O& G,Katsina,Katsina,
2969,KT/0053,BISIT HOSPITAL LTD,"36, KATSINA RD, FUNTUA",O& G,Funtua,Katsina,
2970,KT/0054,BAKORI CLINIC & MAT.,"2, KATSINA RD",USS,Bakori,Katsina,
2971,KT/0055,New Funtua Clinic,"3 Jabir Roundabout, Zaria Road, Funtua",,Funtua,Katsina,
2972,KT/0056,New Funtua Clinic,"3 Jabir Roundabout, Zaria Road, Funtua",Laboratory,Funtua,Katsina,
2973,KT/0057,Khadijat Medical Centre,"53 Katsina Road, Funtua","Surgery, O&G",Funtua,Katsina,
2974,KT/0061,Jibia Clinic,"Tundun Wada Area, Jibia Town",,Jibia,Katsina,
2975,KT/0062,Daura Clinics & Medical Centre,"# 29, Zango Road, Daura, Katsina",,Daura,Katsina,
2976,KT/0063,Mubek Pharmacy,"federal Medical Centre, Katsina",,Katsina,Katsina,
2977,KT/0064,Abdullahi Diko Inde Customs Clinic,"Lema Jibril road, Customs House, Katsina",,Katsina,Katsina,
2978,KT/0065,Amfani Clinic & Mat Home,"15, funtua crescent, New Layout Katsina",,Katsina,Katsina,
2979,KT/0066,University Clinic,"Federal University, Take- off Campus, federal University Dutsinma, Katsina State",,Dutsin-Ma,Katsina,
2980,KT/0067,Maternal and Children Hospital,Kafur Road. Malumfashi,,Malufashi,Katsina,
2981,KT/0068,K Dara Specialist Clinic Limited,Gidan Dawa,,Katsina,Katsina,
2982,KT/0069,Umaru Musa Yar'adua University Health Centre,"Dustinma Road, Katsina",,Katsina,Katsina,
2983,KT/0070,Turai Umar Yar'Adua Maternity Children Hospital,"Gidan Dawa off Hassan Usman Katsina Road, Katsina",,Katsina,Katsina,
2984,KT/0071,Jibiya Medical Clinic & Hospital,"Katsina, Jibiya, Katsina State",,Jibia,Katsina,
2985,KT/0072,Albarka Clinic & Maternity,"Ali Cinema Malumfashi, (Tinglin Area) Katsina State",,Malufashi,Katsina,
2986,KT/0073,General Hospital Musawa,"Hospital Rd, Shaishawu Musawa, Katsina",,Musawa,Katsina,
2987,KT/0074,General Hospital Funtua,"Along Sokoto Road, Makera, Funtua, katsina State",,Funtua,Katsina,
2988,KT/0075,St Vincent Catholic Church,"Along Funtua Road, Gidan Dawa, Malumfachi, Katsina State",,Malufashi,Katsina,
2989,KT/0076,Alheri Clinic,"Lawrence Onoja Road, Kofar Kaura, New Layout katsina, Katsina State",,Katsina,Katsina,
2990,KT/0077,Dr Falana Hospital Malumfashi Clinic & Maternity,"No 99, Funtua Yashe Rd, Malumfashi, Katsina State",,Malufashi,Katsina,
2991,KW/0001,Temitope Hospital,"Sabo Line Isale, Off Amilegbe Road, Ilorin",,Ilorin East,Kwara,
2992,KW/0002,Ola Olu Hospital,"Opp. International Tobacco Coy. Garrage Offa Road, Iiorin",,Ilorin East,Kwara,
2993,KW/0004,Ilorin Clinics & Maternity Hospital,"163, Alimi Road, Isale Alore/Abata, Ologe, Ilorin",,Ilorin East,Kwara,
2994,KW/0005,Eyitayo Hospital,"No. 40, Ojo-Iya Road, Ilorin",,Ilorin East,Kwara,
2995,KW/0006,Oorelope Hospital,"No. 30, Opo-Malu Road, Ilorin, Kwara State",,Ilorin East,Kwara,
2996,KW/0007,Life Care Hospital,"No. 55 Gaa-Akanbi Road, Ilorin",,Ilorin East,Kwara,
2997,KW/0008,Jebba Specialist Hospital,"Jebba, Ilorin","Radiology, Paediatrics, Surgery, Pharmacy",Patigi,Kwara,
2998,KW/0009,Ajisafe Optical Services,"24, Jebba Road, Ilorin",Ophthalmology,Ilorin-South,Kwara,
2999,KW/0010,Sadiku Hospital,"16, Abdulwahab Folawuyo, Unity Road, Ilorin","O&G, Surgery",Ilorin East,Kwara,
3000,KW/0012,Olalomi Hospital - Ilorin,"Stadium Road, Ilorin",,Ilorin-West,Kwara,
3001,KW/0013,Cottage Hospital,"Ajase Ipo, Ilorin",,Ilorin-West,Kwara,
3002,KW/0014,Abiye Maternity Hospital,"Ganmo, Ilorin",,Ilorin-West,Kwara,
3003,KW/0015,Omolola Hospital,"Opp. Govt. Sec. School, Along Jebba Road, Ilorin.",,Ilorin East,Kwara,
3004,KW/0016,Omolola Hospital,"No. 26 Murtala Moh'd Road, Ilorin.","Laboratory, Radiology",Ilorin East,Kwara,
3005,KW/0019,Fogofolu Hospital & Mat. Centre,"No.12 Shofoluew Street, Sabo-Oke, Ilorin",,Ilorin East,Kwara,
3006,KW/0020,Sobi Specialist Hospital,"Alagbado Okelele, Ilorin",,Ilorin East,Kwara,
3007,KW/0021,Abanise Lolu Hospital,"Oke Agodi Aromaradu Adeta, Ilorin",Surgery,Ilorin-West,Kwara,
3008,KW/0022,Fogofulu Hospital & Maternity Centre,"12, Shofoluwe Street, Sabo-Oke llorin","Surgery, O&G",Patigi,Kwara,
3009,KW/0023,Sabo Specialist Hospital,"Alagbado Okelele, llorin","Radiology, Laboratory, Pharmacy",Patigi,Kwara,
3010,KW/0024,Olarewaju Hospital,Oro Ago Close Ilorin,,Ilorin-South,Kwara,
3011,KW/0025,Wale Clinic & Maternity,Offa.,,Offa,Kwara,
3012,KW/0026,Offa Specialist Hospital,Offa,"Radiology, Pharmacy, Laboratory, Surgery",Patigi,Kwara,
3013,KW/0027,University Teaching Hospital Ilorin,"Ilorin, Lagos Road, Ilorin",,Ilorin East,Kwara,
3014,KW/0028,Delniks Hospital,"Oja Iya Off University Road, Iiorin",,Ilorin-South,Kwara,
3015,KW/0029,Oyin Folorunsho,"Tanke Bubu Off University Road, Iiorin",,Ilorin East,Kwara,
3016,KW/0030,Femis Hospital,"Unity Road, Ilorin",,Ilorin East,Kwara,
3017,KW/0031,Aisat Memorial Hospital,"Off. Jaigbade Residence, Itamerin, Ilorin",,Ilorin East,Kwara,
3018,KW/0032,"General Hospital, Omuaran",Omuaran,,Irepodun,Kwara,
3019,KW/0033,Jebba Specialist Hospital,Jebba,,Moro,Kwara,
3020,KW/0034,Murab Hospital,"University Road, Tanke Ilorin",,Ilorin East,Kwara,
3021,KW/0035,Airport Clinic,"Eyenkorin Road, Ilorin",,Ilorin East,Kwara,
3022,KW/0036,"General Hospital, Pategi","Pategi, Ilorin",,Patigi,Kwara,
3023,KW/0037,Abanise Lolu Hospital,"Oke Agodi Aromaradu Adeta, Ilorin",,Ilorin East,Kwara,
3024,KW/0038,Kiddiz Clinic,"Eastern Reservoirs, Olorunshogo, Ilorin",,Ilorin East,Kwara,
3025,KW/0039,Sadiku Hospital,"16, Abdulwahab Folawuyo, Unity Road, Ilorin",,Ilorin-South,Kwara,
3026,KW/0041,Tobi Hospital,"Opp. Stadium Shopping Complex, Ilorin",,Ilorin East,Kwara,
3027,KW/0042,Sabo-Oke Medical Centre,"12,Fufu/Okafor Street, Sabo-Oke, Ilorin",,Ilorin East,Kwara,
3028,KW/0044,Adeyemo Hospital,"Omu-aran, Kwara State",,Irepodun,Kwara,
3029,KW/0045,Central Clinic,"Lafiaji Road, Tsaraji, Kware State",,Ilorin East,Kwara,
3030,KW/0046,Tolulope Clinic & Maternity,"Off Abdullahi Mo''Hd Road, Tanke Iiewe, Ilorin",,Ilorin East,Kwara,
3031,KW/0048,Anchormed Hospital,"University Road, Tanke, Ilorin",,Ilorin East,Kwara,
3032,KW/0049,Ela Memorial Medical Centre,"Near Basin Gate, Ilorin",,Ilorin-South,Kwara,
3033,KW/0050,ECWA Hospital,Omu-Aran,,Irepodun,Kwara,
3034,KW/0051,Surulere Medical Centre,"Off Taiwo Road, Ilorin",,Ilorin East,Kwara,
3035,KW/0052,Kosemani Hospital,"Emirs Road, Ilorin",,Ilorin East,Kwara,
3036,KW/0054,"General Hospital, Erin-Iie",Erin-Iie,,Oyun,Kwara,
3037,KW/0060,Dave Mercy Pharmacy,"Jebba, Idiagbon Nigeria Paper Road, Adjacent Hotel, Jebba.",Pharmacy,Moro,Kwara,
3038,KW/0061,Olarewaju Hospital Lab,"Oro Ago Close, Ilorin","Laboratory, Surgery, O & G.",Ilorin East,Kwara,
3039,KW/0063,Ola-Olu Hospital,"Opposite Int. Tobacco Coy, Garrage Offa Road, Ilorin","Laboratory, Radiology, Pharmacy",Ilorin-South,Kwara,
3040,KW/0064,Akande X-ray Diagnostic,"No.4, Sultan Road, Ilorin",Radiology,Ilorin-South,Kwara,
3041,KW/0065,Heritage Dental Clinic,"16, Ibrahim Taiwo Road, Ilorin",Dental,Ilorin East,Kwara,
3042,KW/0067,Olalomi Hospital,"Old Yidi Road, Behind Ansarudeen Primary Sch., Ilorin","Radiology, Surgery, O&G",Ilorin-West,Kwara,
3043,KW/0068,Kiddiz Medical Centre,"Western Reservoirs, Olorunshogo Ilorin","Paediatrics, General Surgery, Surgery",Ilorin-West,Kwara,
3044,KW/0069,Alpha Dental Clinic,"116, Abdulazeez Atta Road, llorin",Dental,Ilorin-West,Kwara,
3045,KW/0071,Group Medical Centre,"Pipeline Road, Tanke, Ilorin",O&G,Ilorin-South,Kwara,
3046,KW/0072,Alchemist Pharm. Nig. Ltd.,"No. 229, Ibrahim Taiwo Road, llorin",Pharmacy,Ilorin-South,Kwara,
3047,KW/0073,Mosaaj Pharmacy,"Behind Queen School, Off CUTH, llorin",Pharmacy,Ilorin-West,Kwara,
3048,KW/0074,Coby Pharmacy,"6, NNPC Pipeline Road, Tanke-GRA, llorin",Pharmacy,Patigi,Kwara,
3049,KW/0075,Fiolu Pharm. Ltd.,"G. 127, Isale Gambari Road, llorin",Pharmacy,Ilorin East,Kwara,
3050,KW/0076,Momrota Pharmacy,"116/117, Abdulazeez Atta Road, Surulere, Adjacent UITH.",Pharmacy,Ilorin-West,Kwara,
3051,KW/0080,Folorunsho Memorial Pharmacy,"Opp. Offa Specialist Hospital, Offa",Pharmacy,Patigi,Kwara,
3052,KW/0082,Folajaiye Diagnostic Medical Lab.,"Services, 120 Ibrahim Taiwo Road, llorin",Laboratory,Patigi,Kwara,
3053,KW/0083,Ajeigbe Diagnostic Services Centre,"Opp. Specialist Hospital, Offa",Laboratory,Offa,Kwara,
3054,KW/0086,227 WG Medical Centre,"NAF Station, Ilorin, Kwara State",,Ilorin East,Kwara,
3055,KW/0087,"Specialist Hospital, Offa","Offa Town, Kwara State",,Offa,Kwara,
3056,KW/0089,Ajisafe Hospital,"GRA Road, Agana Area, Omuaran, Kwara State",,Irepodun,Kwara,
3057,KW/0091,Garin Alimi Hospital,"283, Umaru Saro Road, Ilorin",,Ilorin-South,Kwara,
3058,KW/0092,"22 Bde MC, Ilorin","Ilorin, Kwara State",,Ilorin-South,Kwara,
3059,KW/0093,"222 LTK BN MRS, Ilorin","Ilorin, Kwara State",,Ilorin-South,Kwara,
3060,KW/0094,University of Ilorin Health Centre,"Ilorin, Kwara State",,Ilorin-South,Kwara,
3061,KW/0096,Garin Alimi Hospital,"No 283, Umaru Saro Road, Ilorin, Kwara State","Surgery, Ophthalmology, Paediatrics, Laboratory, Pharmacy, ENT, Radiology",Ilorin-West,Kwara,
3062,KW/0097,Cottage Hospital/Comprehensive Health Centre,"Kwara State Police Command, Ilorin, Kwara State",,Ilorin-West,Kwara,
3063,KW/0101,Sarfam Medical Centre,"No 34 Fate Rd, Ilorin",,Ilorin East,Kwara,
3064,KW/0102,Ore Ofe Clinic & Maternity,"Isale-Maliki Street, Balogun Funlani Ilorin",,Ilorin-West,Kwara,
3065,KW/0104,Oluseyi Hospital,Ajase Ipo,,Irepodun,Kwara,
3066,KW/0106,Shallom Clinic & Maternity,Bode-Saadu,,Moro,Kwara,
3067,KW/0107,Olufolarin Okoro Memorial Hospital,"No 78, Agbo Oba Rd Ilorin",,Ilorin-West,Kwara,
3068,KW/0109,Rolakim Hospital,"Opposite St Clares Grammar School, Offa",,Offa,Kwara,
3069,KW/0110,Olalomi Hospital - Offa,Irra Rd offa,,Offa,Kwara,
3070,KW/0111,Royal Care Hospital,No 1 Ponyan Rd NNPC Pipeline Gaa-Akanbi Ilorin,,Ilorin-South,Kwara,
3071,KW/0113,General Hospital Lafiagi,General Hospital Lafiagi,,Edu,Kwara,
3072,KW/0114,General Hospital Kiama,General Hospital Kiama,,Kaiama,Kwara,
3073,KW/0115,Olayemi (Deleyemi) Hospital,Gbagba Village Airport Rd Ilorin,Psychiatric,Ilorin-West,Kwara,
3074,KW/0116,Royal Care Hospital,No 1 Ponyan Rd NNPC Pipeline Gaa-Akanbi Ilorin,O & G,Ilorin-South,Kwara,
3075,KW/0117,Odeme Pharmacy,Ahmadu Bello Way Opp Kwara Hotel Ilorin,Pharmacy,Ilorin-South,Kwara,
3076,KW/0118,Gbolafunmi Pharmaceutical Chemist,Amilegbu Rd Ilorin,Pharmacy,Ilorin East,Kwara,
3077,KW/0119,Kosemani Hospital,E 101 emir Rd Ilorin,"O & G, USS",Ilorin-South,Kwara,
3078,KW/0122,Ilera Pharmaceutical Chemist Nig Ltd,113 abdullazees Rd Ilorin,Pharmacy,Ilorin-West,Kwara,
3079,KW/0123,Sarfom Pharmacy,No 34 Fate Rd Ilorin,"Pharmacy, Laboratory",Ilorin-South,Kwara,
3080,KW/0124,Asa-Dam Hospital,No 10 Asa Dam Rd Ilorin,Surgery,Ilorin-West,Kwara,
3081,KW/0125,Ela Memorial Centre,"Shittu Olufoye Street, Off Lower Niger River Basin Gate Basin Rd Ilorin",orthopaedic Surgery & Physiotheraphy,Ilorin East,Kwara,
3082,KW/0126,Oleb Physiotherapy,No 19 Unity Rd Ilorin,Physiotheraphy,Ilorin-South,Kwara,
3083,KW/0129,Unity Medical Laboratory Services,120 B Sheikh Adam Abdullahi Street Ipata Oloje Ilorin,Laboratory,Ilorin-West,Kwara,
3084,KW/0130,Femis Laboratory,No 4 Unity Rd Ilorin,"Laboratory, ECG & Uss",Ilorin-South,Kwara,
3085,KW/0133,General Hospital Lafiagi,General Hospital Lafiagi,"Laboratory, Pharmacy, surgery, Radiology",Edu,Kwara,
3086,KW/0134,General Hospital Kiama,General Hospital Kiama,"Pharmacy, Surgery, Laboratory",Kaiama,Kwara,
3087,KW/0136,"Federal Polytechnic Medical Centre, Offa","Offa, Kwara State",,Offa,Kwara,
3088,KW/0137,NEW ERA HOSPITAL,OSI,,Ekiti,Kwara,
3089,KW/0138,CIVIL SERVICE HOSPITAL,"ILOFA ROAD, ILORIN",,Ilorin-South,Kwara,
3090,KW/0139,"General Hospital, Share",Share,,Irepodun,Kwara,
3091,KW/0140,UITH COMPREHENSIVE HEALTH CENTRE,ESIE,,Irepodun,Kwara,
3092,KW/0141,ADEWOLE COTTAGE HOSPITAL,"ADEWOLE RD, ALONG YEBMOT HOTEL, ILORIN",,Ilorin-West,Kwara,
3093,KW/0144,OLUTAYO CLINIC & MATERNITY,"SANGO, ILORIN",,Ilorin East,Kwara,
3094,KW/0145,IRETI CLINIC & MAT.,"24A COCA-COLA RD, OFF UNITY RD, ILORIN",,Ilorin-West,Kwara,
3095,KW/0146,OMOSEBI HOSPITAL,GAA AKAMBI ILORIN,,Ilorin-South,Kwara,
3096,KW/0147,CHILDREN SPECIALIST HOSP.,CENTRE GBORO,,Ilorin-West,Kwara,
3097,KW/0148,AJIKOBI COTTAGE HOSP.,"OKEKE, ILORIN",,Ilorin-West,Kwara,
3098,KW/0149,AJIKOBI COTTAGE HOSP.,"OKEKE, ILORIN",Pharmacy,Ilorin-West,Kwara,
3099,KW/0150,CHILDREN SPECIALIST HOSP.,"CENTRE, GBORO","Paediatrics,Laboratory",Ilorin-West,Kwara,
3100,KW/0151,TEMITOPE HOSPITAL,"3B, AMILEGBO SABO LINE, ILORIN",Laboratory,Ilorin East,Kwara,
3101,KW/0152,OMOSEBI HOSPITAL,GAA AKAMBI ILORIN,PSYCHIATRY,Ilorin-South,Kwara,
3102,KW/0153,EYITAYO HOSPITAL,"4 OJO-IYA RD, ILORIN.",O & G,Ilorin-South,Kwara,
3103,KW/0154,AYO BELLO MEM. EYE CENTRE,"1 AYO BELLO STR, BEHIND WINNER CHAPEL ILORIN",Opthalmology,Ilorin-West,Kwara,
3104,KW/0155,COMPREHENSIVE HEALTH CENTRE,IREPODUN,Laboratory,Surulere,Lagos,
3105,KW/0156,Anchormed Hospital,"195 AJASSE IPO RD,",Laboratory,Ilorin-West,Kwara,
3106,KW/0157,"General Hospital, Share",SHARE,Laboratory,Surulere,Lagos,
3107,KW/0158,CIVIL SERVICE HOSPITAL & MAT.,"ILOFA RD, ILORIN","Pharmacy, Laboratory, O & G",Ilorin-South,Kwara,
3108,KW/0159,GOVERNMENT DENTAL CENTRE,UITH PREMISES,DENTAL,Ilorin-West,Kwara,
3109,KW/0160,COMPREHENSIVE HEALTH CENTRE ( UITH),ESIE,Pharmacy,Surulere,Lagos,
3110,KW/0161,AISHAT HOSPITAL,"OFF JAIGBADE RESIDENCE, ITAMERAN ILORIN",SURGERY,Ilorin-West,Kwara,
3111,KW/0162,Ibukun Faith Clinic & Maternity,"Olorunsogo Danialu Upper Gua Akanbi Road, Ilorin",,Ilorin East,Kwara,
3112,KW/0163,St Brendan's Catholic Mission,"Ahmadu Bello Way, Bacita",,Edu,Kwara,
3113,KW/0164,Ogo-Oluwa Hospital,"Ahmadu Bello Way, Bacita",,Edu,Kwara,
3114,KW/0165,Dayspring Medical Centre,"Beside Agape, Unilorin Remedial Centre, Ilorin",Laboratory,Ilorin-South,Kwara,
3115,KW/0166,Sarfam Medical Centre,"34 Fate Rd, Ilorin",O&G,Ilorin-South,Kwara,
3116,KW/0167,Ayobami Pharmacy Co,"Basin Road, Ilorin",Pharmacy,Ilorin-South,Kwara,
3117,KW/0168,NNSHS Sick Bay,Offa,,Offa,Kwara,
3118,KW/0169,Ayoade Hospital,"Olorunsogo, Gaa Akanbi, Ilorin",,Ilorin-South,Kwara,
3119,KW/0170,Ona Ara Hospital,"7, Agunbiade Street, Sango, Ilorin",,Ilorin East,Kwara,
3120,KW/0171,Cottage Hospital,Lade,,Patigi,Kwara,
3121,KW/0172,Albarka Radiodiagnostic Centre,"Off Ajase Epo Road, Ilorin",,Ilorin East,Kwara,
3122,KW/0173,Olupelu Clinic and Maternity,"Itaamo via Pakata, Ilorin",,Ilorin-West,Kwara,
3123,KW/0174,Yegun Clinic and Maternity,"1, Hospital Road, Pategi",,Patigi,Kwara,
3124,KW/0175,Ifeolu Clinic and Maternity,"Gaa Akanbi Roundabout, Ilorin",,Ilorin-South,Kwara,
3125,KW/0176,Crescent Gold Crown Hospital,"Behind Mark Petrol Station, Tanke, Ilorin",,Ilorin-South,Kwara,
3126,KW/0178,Oko Medical Centre,"Idofin Road, Oko",,Irepodun,Kwara,
3127,KW/0179,Balm Hospital,"296 Bishop Street, GRA Ilorin",,Ilorin-South,Kwara,
3128,KW/0180,Hauwa Memorial Hospital,Gure Town,,Baruten,Kwara,
3129,LA/0001,"Prince & Princess Hospital, Egbeda","Plot 75. 12th Road Gowon Estate Egbeda, Lagos",,Agege,Lagos,
3130,LA/0002,Talent Specialist Hospital,"Plot 440 4th Avenue, Gowon Estate, Egbeda, Lagos",,Agege,Lagos,
3131,LA/0004,"Barbinton Medical Centre, ketu",No. 9 Samuel Anibaba Street Iyana School Bus Stop Ketu Lagos,,Agege,Lagos,
3132,LA/0006,St.Claver Hospital,"28 Ijaiye Road Beside Sweet Sensation, Ogba, Ikeja",,Agege,Lagos,
3133,LA/0007,Deji Clinic,Iju Fagba Lagos,,Agege,Lagos,
3134,LA/0010,"Osuntuyi Medical Center, iju_ishaga","255 Iju Rd, Balogun B/Stop, Iju-Ishaga",,Agege,Lagos,
3135,LA/0012,"General Hospital, Orile-Agege",Orile-Agege,-,Agege,Lagos,
3136,LA/0013,St. Thomas's Hosp. Ifako-Agege,"17, Awoni Murphy Street, Itako, Agege, Lagos.",,Agege,Lagos,
3137,LA/0014,Betta Hospitals Ltd.,"9-11 Coker Street, Ipaja Road, Agege, Lagos",,Agege,Lagos,
3138,LA/0016,All Souls Infirmary Hospital & Mat. Centre,"No. 8 Church Street, Elere, Agege, Lagos.",,Agege,Lagos,
3139,LA/0017,Mucas Hospital,"19 Ogun Str., Adeolu Bus Stop, Dopemu, Agege, Lagos.",,Agege,Lagos,
3140,LA/0018,Masol Hospital Clinic & Mat. Home,"8, Kola Akinlade Str., off Akinsegun Rd., Jesu Oseun, Abule Egba, Lagos",,Agege,Lagos,
3141,LA/0019,Teo Pharmaceutical Nigeria Ltd.,"172, Akowonjo Road, Akowonjo",Pharmacy,Alimosho,Lagos,
3142,LA/0020,Lanikan Nig. Ltd.,"165, Akowjo Road, Akowonjo Egbeda",Pharmacy,Alimosho,Lagos,
3143,LA/0021,Fruitful Vine Pharmacy,"115, Idimu Road, Egbeda",Pharmacy,Alimosho,Lagos,
3144,LA/0022,Lola Pharmacy & Stores Ltd.,"10, Idimu Road, Egeda Bus Stop Egbeda",Pharmacy,Alimosho,Lagos,
3145,LA/0023,Boluke Pharm. Ltd,"69, Old Abeokuta",Pharmacy,Alimosho,Lagos,
3146,LA/0024,Boluke Pharm. Ltd,"16 Iju Road, Agege, Lagos",Pharmacy,Agege,Lagos,
3147,LA/0025,Bolutife Pharmacy & Stores Ltd.,"104, Ijagemo Road Ijegun Garrage, Ijegun, Lagos",Pharmacy,Lagos Mainland,Lagos,
3148,LA/0026,Charther Pharmaceutical Ltd.,"205, Akowonjo Road, Dopemu",Pharmacy,Alimosho,Lagos,
3149,LA/0027,Brodason Pharmacy Med. Industrial Ltd.,"14 Olowologbo Str. Off No. 155 Akowonjo, Almoso",Pharmacy,Alimosho,Lagos,
3150,LA/0028,Deyo Pharm,Dopemu R/about,Pharmacy,Alimosho,Lagos,
3151,LA/0029,Edimot Pharmacy,"103/107 Old Otta rd, Orile Agege",Pharmacy,Agege,Lagos,
3152,LA/0030,Toluwa Pharmacy,"35, Yahaya rd, Ogba-agege",Pharmacy,Agege,Lagos,
3153,LA/0031,Dart Drugs,"40, Yaya Abatan rd, Ogba Ijaiye Agege",Pharmacy,Agege,Lagos,
3154,LA/0033,Newton Diagnostic Services Ltd.,"19 Ogun Street,Adeolu Bus Stop, Dopemu",Radiology,Alimosho,Lagos,
3155,LA/0034,Dr.Essien I. Ekong Hospital,"1, Kemfat Road, Thomas Village, Ajah.",Orthopedric Surgery,Agege,Lagos,
3156,LA/0036,Ajeromi General Hospital,Awodi-Ora Ajegunle,,Ajeromi/Ifelodun,Lagos,
3157,LA/0037,Prince & Princess Hospital,"191 Ojo Road, Ligoli Bus Stop, Ajegunle, Lagos.",,Ajeromi/Ifelodun,Lagos,
3158,LA/0038,All Soul's Clinics Ltd,"No. 235 Ojo Road, Ajegunle, Lagos",,Ajeromi/Ifelodun,Lagos,
3159,LA/0039,Ajeromi General Hospital,"Awodi-Ora, Ajegunle, Lagos.","O & G, Surgery, Internal Medicine, Pharmacy, Laboratory, Physiotherapy, Dental",Ajeromi/Ifelodun,Lagos,
3160,LA/0040,Standard Generics Pharmacy,"33, Bale St. Ajegunle",Pharmacy,Ajeromi/Ifelodun,Lagos,
3161,LA/0041,Convenant Conception Hospital,No. 9 Illiasu Road Ikotun-Egbe Lagos,,Alimosho,Lagos,
3162,LA/0042,Mount Sina'I Hospital - Egbe,"105, Isolo Road , Egbe Lagos",Primary,Alimosho,Lagos,
3163,LA/0044,Elf Foundation Mother & Child Clinic,Alimosho L.G. Ikotun Lagos,,Alimosho,Lagos,
3164,LA/0045,Broad Hospital & Materinty,"17 Fehintola Street , Off Isijola Street Ikotun Lagos",,Alimosho,Lagos,
3165,LA/0046,Zenith Medical Centre,1. Adeyefa Street. Off Abeokuta Exp. Iyana-Paja,,Alimosho,Lagos,
3166,LA/0047,Veta Hospital Ltd.,"1, Veta Close, Araromi Bus Stop Abeoukuta Expressway Iyana-Paja Lagos",,Alimosho,Lagos,
3167,LA/0049,"Duramo- Moses, Lab.Diag. Services & Co.","79/81 Almosho Road, Agege",Laboratory,Agege,Lagos,
3168,LA/0050,Veta/VMS Diagnostic Centre,Araromi B/Stop Abeokuta Expressway Iyana-Ipaja,Laboratory,Alimosho,Lagos,
3169,LA/0051,Alimosho Chemists Ltd.,"47, New Ipaja Road, Iyana Ipaja, Alimosho",Pharmacy,Alimosho,Lagos,
3170,LA/0052,Arowolo Pharmacy,No. 7 Idimu Road Isheli - Alimosho,Pharmacy,Alimosho,Lagos,
3171,LA/0055,Malgoz Clincal Lab. Ltd.,"1, Akanbi Soetan St/Old Ojo Road Ajakija B/Stop. Amuwo-Odofi",Pharmacy,Amuwo-Odofin,Lagos,
3172,LA/0057,Shepherd Specialist Hospital,"2nd Avenue 23 Road, T Close House 38, Festac , Lagos",,Amuwo-Odofin,Lagos,
3173,LA/0058,Hova's Place Eye Centre,"Hosanna Hospital , T Close House 23 Festac Lagos",Ophthalmology,Amuwo-Odofin,Lagos,
3174,LA/0059,First Faith Med. Centre Ltd.,"2, Kekere Ekun Str., Orile Iganmu, Lagos.",,Amuwo-Odofin,Lagos,
3175,LA/0060,Grayma Medical Centre,"27, Amai Street, Off Alafia Bus Stop, Along Lagos-Badagry expressway(Km 3), Lagos.",,Amuwo-Odofin,Lagos,
3176,LA/0061,"Praise Medical Centre, Festac.","3rd Avenue O'' Close House 2, Festac Town, Lagos.",,Amuwo-Odofin,Lagos,
3177,LA/0062,St. Anthony's Medical Centre,"19 Badagry Expressway, Festac Town, Lagos",,Amuwo-Odofin,Lagos,
